Incubation time,T,Time,Add,Ash,CBC,CEC,NBC,PBC,OPBC,SSA,pHsoil,TP,OPsoil,TC,OC,Fertilizer type,Soil texture,ECsoil,P growth rate
180,300,6,0.45,58.8,27.57,,0.62,0.31,,,8.5,,12.87,,3.4,1,3,770,0.255862069
180,500,6,0.45,26.3,38.1,,0.153,0.36,,,8.5,,12.87,,3.4,1,3,770,0.006896552
180,300,6,0.45,62.5,25.2,,0.12,0.37,,,8.5,,12.87,,3.4,1,3,770,0.351724138
180,500,3,0.45,34,36.2,,0.68,0.19,,,8.5,,12.87,,3.4,1,3,770,0.144827586
180,300,3,0.45,42.6,30.6,,0.66,0.26,,,8.5,,12.87,,3.4,1,3,770,0.222068966
180,500,3,0.45,20.6,43.4,,0.183,0.34,,,8.5,,12.87,,3.4,1,3,770,0.186206897
180,300,3,0.45,48.4,30.4,,0.15,0.37,,,8.5,,12.87,,3.4,1,3,770,0.144827586
180,500,1,0.45,33.1,41,,0.71,0.19,,,8.5,,12.87,,3.4,1,3,770,0.24137931
180,300,1,0.45,31.2,36.9,,0.72,0.21,,,8.5,,12.87,,3.4,1,3,770,0.294482759
180,500,1,0.45,17.5,52.1,,0.2,0.27,,,8.5,,12.87,,3.4,1,3,770,0.593103448
180,300,1,0.45,33.2,36.3,,0.183,0.33,,,8.5,,12.87,,3.4,1,3,770,0.275862069
120,500,6,0.45,38.2,31,,0.67,0.21,,,8.5,,12.87,,3.4,1,3,770,0.286713287
120,300,6,0.45,58.8,27.57,,0.62,0.31,,,8.5,,12.87,,3.4,1,3,770,0.251748252
120,500,6,0.45,26.3,38.1,,0.153,0.36,,,8.5,,12.87,,3.4,1,3,770,0.202797203
120,300,6,0.45,62.5,25.2,,0.12,0.37,,,8.5,,12.87,,3.4,1,3,770,1.118881119
120,500,3,0.45,34,36.2,,0.68,0.19,,,8.5,,12.87,,3.4,1,3,770,0.286713287
120,300,3,0.45,42.6,30.6,,0.66,0.26,,,8.5,,12.87,,3.4,1,3,770,0.594405594
120,500,3,0.45,20.6,43.4,,0.183,0.34,,,8.5,,12.87,,3.4,1,3,770,0.244755245
120,300,3,0.45,48.4,30.4,,0.15,0.37,,,8.5,,12.87,,3.4,1,3,770,0.454545455
120,500,1,0.45,33.1,41,,0.71,0.19,,,8.5,,12.87,,3.4,1,3,770,0.20979021
120,300,1,0.45,31.2,36.9,,0.72,0.21,,,8.5,,12.87,,3.4,1,3,770,0.272727273
120,500,1,0.45,17.5,52.1,,0.2,0.27,,,8.5,,12.87,,3.4,1,3,770,0.293706294
120,300,1,0.45,33.2,36.3,,0.183,0.33,,,8.5,,12.87,,3.4,1,3,770,0.125874126
60,500,6,0.45,38.2,31,,0.67,0.21,,,8.5,,12.87,,3.4,1,3,770,1.400932401
60,300,6,0.45,58.8,27.57,,0.62,0.31,,,8.5,,12.87,,3.4,1,3,770,1.078477078
60,500,6,0.45,26.3,38.1,,0.153,0.36,,,8.5,,12.87,,3.4,1,3,770,1.111888112
60,300,6,0.45,62.5,25.2,,0.12,0.37,,,8.5,,12.87,,3.4,1,3,770,1.856254856
60,500,3,0.45,34,36.2,,0.68,0.19,,,8.5,,12.87,,3.4,1,3,770,1.307692308
60,300,3,0.45,42.6,30.6,,0.66,0.26,,,8.5,,12.87,,3.4,1,3,770,1.351981352
